id,label,subTypeOf,preprocessed_label
https://schema.org/BuddhistTemple,BuddhistTemple,https://schema.org/PlaceOfWorship,buddhist temple
https://schema.org/CafeOrCoffeeShop,CafeOrCoffeeShop,https://schema.org/FoodEstablishment,cafe or coffee shop
https://schema.org/Campground,Campground,"https://schema.org/CivicStructure, https://schema.org/LodgingBusiness",campground
https://schema.org/Canal,Canal,https://schema.org/BodyOfWater,canal
https://schema.org/Casino,Casino,https://schema.org/EntertainmentBusiness,casino
https://schema.org/Church,Church,https://schema.org/PlaceOfWorship,church
https://schema.org/CityHall,CityHall,https://schema.org/GovernmentBuilding,city hall
https://schema.org/ClothingStore,ClothingStore,https://schema.org/Store,clothing store
https://schema.org/CollegeOrUniversity,CollegeOrUniversity,https://schema.org/EducationalOrganization,college or university
https://schema.org/ComedyClub,ComedyClub,https://schema.org/EntertainmentBusiness,comedy club
https://schema.org/CommunityHealth,CommunityHealth,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",community health
https://schema.org/ComputerStore,ComputerStore,https://schema.org/Store,computer store
https://schema.org/ConvenienceStore,ConvenienceStore,https://schema.org/Store,convenience store
https://schema.org/Courthouse,Courthouse,https://schema.org/GovernmentBuilding,courthouse
https://schema.org/DaySpa,DaySpa,https://schema.org/HealthAndBeautyBusiness,day spa
https://schema.org/DefenceEstablishment,DefenceEstablishment,https://schema.org/GovernmentBuilding,defence establishment
https://schema.org/Dentist,Dentist,"https://schema.org/LocalBusiness, https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",dentist
https://schema.org/DepartmentStore,DepartmentStore,https://schema.org/Store,department store
https://schema.org/Dermatology,Dermatology,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",dermatology
https://schema.org/DietNutrition,DietNutrition,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",diet nutrition
https://schema.org/Distillery,Distillery,https://schema.org/FoodEstablishment,distillery
https://schema.org/Electrician,Electrician,https://schema.org/HomeAndConstructionBusiness,electrician
https://schema.org/ElectronicsStore,ElectronicsStore,https://schema.org/Store,electronics store
https://schema.org/ElementarySchool,ElementarySchool,https://schema.org/EducationalOrganization,elementary school
https://schema.org/Embassy,Embassy,https://schema.org/GovernmentBuilding,embassy
https://schema.org/Emergency,Emergency,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",emergency
https://schema.org/ExerciseGym,ExerciseGym,https://schema.org/SportsActivityLocation,exercise gym
https://schema.org/FastFoodRestaurant,FastFoodRestaurant,https://schema.org/FoodEstablishment,fast food restaurant
https://schema.org/FireStation,FireStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",fire station
https://schema.org/Florist,Florist,https://schema.org/Store,florist
https://schema.org/FurnitureStore,FurnitureStore,https://schema.org/Store,furniture store
https://schema.org/GardenStore,GardenStore,https://schema.org/Store,garden store
https://schema.org/GasStation,GasStation,https://schema.org/AutomotiveBusiness,gas station
https://schema.org/GeneralContractor,GeneralContractor,https://schema.org/HomeAndConstructionBusiness,general contractor
https://schema.org/Geriatric,Geriatric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",geriatric
https://schema.org/GolfCourse,GolfCourse,https://schema.org/SportsActivityLocation,golf course
https://schema.org/GroceryStore,GroceryStore,https://schema.org/Store,grocery store
https://schema.org/Gynecologic,Gynecologic,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",gynecologic
https://schema.org/HVACBusiness,HVACBusiness,https://schema.org/HomeAndConstructionBusiness,hvac business
https://schema.org/HairSalon,HairSalon,https://schema.org/HealthAndBeautyBusiness,hair salon
https://schema.org/HardwareStore,HardwareStore,https://schema.org/Store,hardware store
https://schema.org/HealthClub,HealthClub,"https://schema.org/HealthAndBeautyBusiness, https://schema.org/SportsActivityLocation",health club
https://schema.org/HighSchool,HighSchool,https://schema.org/EducationalOrganization,high school
https://schema.org/HinduTemple,HinduTemple,https://schema.org/PlaceOfWorship,hindu temple
https://schema.org/HobbyShop,HobbyShop,https://schema.org/Store,hobby shop
https://schema.org/HomeGoodsStore,HomeGoodsStore,https://schema.org/Store,home goods store
https://schema.org/Hospital,Hospital,"https://schema.org/CivicStructure, https://schema.org/EmergencyService, https://schema.org/MedicalOrganization",hospital
https://schema.org/Hostel,Hostel,https://schema.org/LodgingBusiness,hostel
https://schema.org/Hotel,Hotel,https://schema.org/LodgingBusiness,hotel
https://schema.org/HotelRoom,HotelRoom,https://schema.org/Room,hotel room
https://schema.org/HousePainter,HousePainter,https://schema.org/HomeAndConstructionBusiness,house painter
https://schema.org/IceCreamShop,IceCreamShop,https://schema.org/FoodEstablishment,ice cream shop
https://schema.org/InsuranceAgency,InsuranceAgency,https://schema.org/FinancialService,insurance agency
https://schema.org/JewelryStore,JewelryStore,https://schema.org/Store,jewelry store
https://schema.org/LakeBodyOfWater,LakeBodyOfWater,https://schema.org/BodyOfWater,lake body of water
https://schema.org/LegislativeBuilding,LegislativeBuilding,https://schema.org/GovernmentBuilding,legislative building
https://schema.org/LiquorStore,LiquorStore,https://schema.org/Store,liquor store
https://schema.org/Locksmith,Locksmith,https://schema.org/HomeAndConstructionBusiness,locksmith
https://schema.org/MedicalClinic,MedicalClinic,"https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",medical clinic
https://schema.org/MeetingRoom,MeetingRoom,https://schema.org/Room,meeting room
https://schema.org/MensClothingStore,MensClothingStore,https://schema.org/Store,mens clothing store
https://schema.org/MiddleSchool,MiddleSchool,https://schema.org/EducationalOrganization,middle school
https://schema.org/Midwifery,Midwifery,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",midwifery
https://schema.org/MobilePhoneStore,MobilePhoneStore,https://schema.org/Store,mobile phone store
https://schema.org/Mosque,Mosque,https://schema.org/PlaceOfWorship,mosque
https://schema.org/Motel,Motel,https://schema.org/LodgingBusiness,motel
https://schema.org/MotorcycleDealer,MotorcycleDealer,https://schema.org/AutomotiveBusiness,motorcycle dealer
https://schema.org/MotorcycleRepair,MotorcycleRepair,https://schema.org/AutomotiveBusiness,motorcycle repair
https://schema.org/MovieRentalStore,MovieRentalStore,https://schema.org/Store,movie rental store
https://schema.org/MovieTheater,MovieTheater,"https://schema.org/CivicStructure, https://schema.org/EntertainmentBusiness",movie theater
https://schema.org/MovingCompany,MovingCompany,https://schema.org/HomeAndConstructionBusiness,moving company
https://schema.org/MusicStore,MusicStore,https://schema.org/Store,music store
https://schema.org/NailSalon,NailSalon,https://schema.org/HealthAndBeautyBusiness,nail salon
https://schema.org/NightClub,NightClub,https://schema.org/EntertainmentBusiness,night club
https://schema.org/Notary,Notary,https://schema.org/LegalService,notary
https://schema.org/Nursing,Nursing,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",nursing
https://schema.org/Obstetric,Obstetric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",obstetric
https://schema.org/OceanBodyOfWater,OceanBodyOfWater,https://schema.org/BodyOfWater,ocean body of water
https://schema.org/OfficeEquipmentStore,OfficeEquipmentStore,https://schema.org/Store,office equipment store
https://schema.org/Oncologic,Oncologic,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",oncologic
https://schema.org/Optician,Optician,https://schema.org/MedicalBusiness,optician
https://schema.org/Optometric,Optometric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",optometric
https://schema.org/Otolaryngologic,Otolaryngologic,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",otolaryngologic
https://schema.org/OutletStore,OutletStore,https://schema.org/Store,outlet store
https://schema.org/PawnShop,PawnShop,https://schema.org/Store,pawn shop
https://schema.org/Pediatric,Pediatric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",pediatric
https://schema.org/PetStore,PetStore,https://schema.org/Store,pet store
https://schema.org/Pharmacy,Pharmacy,"https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",pharmacy
https://schema.org/Physician,Physician,"https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",physician
https://schema.org/Physiotherapy,Physiotherapy,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",physiotherapy
https://schema.org/PlasticSurgery,PlasticSurgery,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",plastic surgery
https://schema.org/Plumber,Plumber,https://schema.org/HomeAndConstructionBusiness,plumber
https://schema.org/Podiatric,Podiatric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",podiatric
https://schema.org/PoliceStation,PoliceStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",police station
https://schema.org/Pond,Pond,https://schema.org/BodyOfWater,pond
https://schema.org/PostOffice,PostOffice,https://schema.org/GovernmentOffice,post office
https://schema.org/Preschool,Preschool,https://schema.org/EducationalOrganization,preschool
https://schema.org/PrimaryCare,PrimaryCare,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",primary care
